"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Travail des grains, fabrication de produits amylacés (NAF rév. 2, niveau groupe, poste 10.6)";"Codes"
"idBank";"010767637";""
"Dernière mise à jour";"04/04/2025 08:45";""
"Période";"";""
"2025-02";"89.48";"A"
"2025-01";"93.93";"A"
"2024-12";"89.29";"A"
"2024-11";"88.61";"A"
"2024-10";"89.85";"A"
"2024-09";"89.96";"A"
"2024-08";"88.54";"A"
"2024-07";"90.13";"A"
"2024-06";"88.95";"A"
"2024-05";"91.09";"A"
"2024-04";"89.69";"A"
"2024-03";"89.49";"A"
"2024-02";"90.62";"A"
"2024-01";"87.25";"A"
"2023-12";"86.15";"A"
"2023-11";"85.3";"A"
"2023-10";"86.94";"A"
"2023-09";"85.17";"A"
"2023-08";"87.45";"A"
"2023-07";"84.99";"A"
"2023-06";"86.1";"A"
"2023-05";"85.85";"A"
"2023-04";"86.43";"A"
"2023-03";"91.66";"A"
"2023-02";"91.0";"A"
"2023-01";"90.23";"A"
"2022-12";"93.89";"A"
"2022-11";"96.92";"A"
"2022-10";"97.59";"A"
"2022-09";"97.3";"A"
"2022-08";"99.28";"A"
"2022-07";"100.54";"A"
"2022-06";"100.99";"A"
"2022-05";"98.5";"A"
"2022-04";"92.02";"A"
"2022-03";"102.87";"A"
"2022-02";"102.59";"A"
"2022-01";"102.88";"A"
"2021-12";"102.3";"A"
"2021-11";"103.55";"A"
"2021-10";"102.53";"A"
"2021-09";"99.98";"A"
"2021-08";"99.39";"A"
"2021-07";"98.77";"A"
"2021-06";"96.78";"A"
"2021-05";"99.93";"A"
"2021-04";"98.33";"A"
"2021-03";"97.67";"A"
"2021-02";"98.54";"A"
"2021-01";"102.22";"A"
"2020-12";"101.88";"A"
"2020-11";"99.35";"A"
"2020-10";"96.58";"A"
"2020-09";"97.4";"A"
"2020-08";"97.69";"A"
"2020-07";"98.07";"A"
"2020-06";"96.42";"A"
"2020-05";"100.62";"A"
"2020-04";"101.94";"A"
"2020-03";"104.12";"A"
"2020-02";"102.25";"A"
"2020-01";"102.45";"A"
"2019-12";"89.98";"A"
"2019-11";"89.88";"A"
"2019-10";"91.85";"A"
"2019-09";"91.09";"A"
"2019-08";"89.52";"A"
"2019-07";"86.86";"A"
"2019-06";"89.03";"A"
"2019-05";"92.23";"A"
"2019-04";"90.29";"A"
"2019-03";"89.85";"A"
"2019-02";"90.0";"A"
"2019-01";"95.77";"A"
"2018-12";"91.72";"A"
"2018-11";"90.82";"A"
"2018-10";"92.09";"A"
"2018-09";"91.93";"A"
"2018-08";"93.41";"A"
"2018-07";"91.04";"A"
"2018-06";"93.63";"A"
"2018-05";"92.58";"A"
"2018-04";"92.92";"A"
"2018-03";"93.9";"A"
"2018-02";"92.17";"A"
"2018-01";"93.35";"A"
"2017-12";"90.39";"A"
"2017-11";"94.73";"A"
"2017-10";"95.34";"A"
"2017-09";"95.71";"A"
"2017-08";"96.14";"A"
"2017-07";"95.13";"A"
"2017-06";"94.03";"A"
"2017-05";"94.86";"A"
"2017-04";"92.76";"A"
"2017-03";"93.58";"A"
"2017-02";"93.83";"A"
"2017-01";"92.53";"A"
"2016-12";"93.93";"A"
"2016-11";"94.74";"A"
"2016-10";"96.8";"A"
"2016-09";"94.53";"A"
"2016-08";"93.46";"A"
"2016-07";"95.43";"A"
"2016-06";"93.99";"A"
"2016-05";"93.17";"A"
"2016-04";"94.41";"A"
"2016-03";"93.8";"A"
"2016-02";"94.79";"A"
"2016-01";"95.49";"A"
"2015-12";"97.29";"A"
"2015-11";"95.37";"A"
"2015-10";"94.29";"A"
"2015-09";"96.94";"A"
"2015-08";"93.6";"A"
"2015-07";"95.55";"A"
"2015-06";"96.64";"A"
"2015-05";"97.71";"A"
"2015-04";"97.56";"A"
"2015-03";"96.35";"A"
"2015-02";"93.36";"A"
"2015-01";"96.18";"A"
"2014-12";"96.18";"A"
"2014-11";"95.41";"A"
"2014-10";"93.93";"A"
"2014-09";"97.16";"A"
"2014-08";"95.07";"A"
"2014-07";"95.99";"A"
"2014-06";"96.26";"A"
"2014-05";"98.23";"A"
"2014-04";"94.54";"A"
"2014-03";"94.82";"A"
"2014-02";"95.19";"A"
"2014-01";"95.34";"A"
"2013-12";"95.2";"A"
"2013-11";"94.37";"A"
"2013-10";"94.08";"A"
"2013-09";"92.93";"A"
"2013-08";"93.83";"A"
"2013-07";"93.9";"A"
"2013-06";"93.9";"A"
"2013-05";"94.08";"A"
"2013-04";"95.17";"A"
"2013-03";"88.81";"A"
"2013-02";"93.29";"A"
"2013-01";"92.36";"A"
"2012-12";"93.98";"A"
"2012-11";"99.32";"A"
"2012-10";"95.42";"A"
"2012-09";"95.43";"A"
"2012-08";"97.43";"A"
"2012-07";"94.8";"A"
"2012-06";"97.02";"A"
"2012-05";"94.8";"A"
"2012-04";"96.31";"A"
"2012-03";"97.41";"A"
"2012-02";"97.4";"A"
"2012-01";"95.45";"A"
"2011-12";"92.38";"A"
"2011-11";"89.83";"A"
"2011-10";"90.64";"A"
"2011-09";"92.89";"A"
"2011-08";"92.71";"A"
"2011-07";"91.49";"A"
"2011-06";"92.48";"A"
"2011-05";"92.9";"A"
"2011-04";"91.98";"A"
"2011-03";"94.06";"A"
"2011-02";"91.81";"A"
"2011-01";"94.43";"A"
"2010-12";"84.49";"A"
"2010-11";"90.03";"A"
"2010-10";"94.05";"A"
"2010-09";"90.72";"A"
"2010-08";"90.16";"A"
"2010-07";"91.28";"A"
"2010-06";"91.03";"A"
"2010-05";"93.77";"A"
"2010-04";"91.52";"A"
"2010-03";"91.14";"A"
"2010-02";"90.59";"A"
"2010-01";"90.09";"A"
"2009-12";"79.98";"A"
"2009-11";"80.6";"A"
"2009-10";"82.11";"A"
"2009-09";"85.49";"A"
"2009-08";"81.87";"A"
"2009-07";"82.17";"A"
"2009-06";"82.54";"A"
"2009-05";"82.56";"A"
"2009-04";"80.15";"A"
"2009-03";"83.74";"A"
"2009-02";"86.73";"A"
"2009-01";"85.61";"A"
"2008-12";"84.9";"A"
"2008-11";"85.25";"A"
"2008-10";"84.5";"A"
"2008-09";"84.81";"A"
"2008-08";"85.02";"A"
"2008-07";"86.09";"A"
"2008-06";"81.65";"A"
"2008-05";"82.72";"A"
"2008-04";"86.5";"A"
"2008-03";"85.06";"A"
"2008-02";"86.52";"A"
"2008-01";"86.49";"A"
"2007-12";"87.59";"A"
"2007-11";"89.72";"A"
"2007-10";"88.99";"A"
"2007-09";"89.44";"A"
"2007-08";"90.39";"A"
"2007-07";"90.21";"A"
"2007-06";"89.14";"A"
"2007-05";"89.62";"A"
"2007-04";"89.61";"A"
"2007-03";"88.69";"A"
"2007-02";"87.42";"A"
"2007-01";"88.09";"A"
"2006-12";"88.64";"A"
"2006-11";"87.65";"A"
"2006-10";"87.1";"A"
"2006-09";"85.98";"A"
"2006-08";"86.47";"A"
"2006-07";"87.11";"A"
"2006-06";"87.92";"A"
"2006-05";"89.75";"A"
"2006-04";"87.72";"A"
"2006-03";"86.26";"A"
"2006-02";"87.25";"A"
"2006-01";"87.74";"A"
"2005-12";"85.88";"A"
"2005-11";"88.82";"A"
"2005-10";"85.98";"A"
"2005-09";"86.09";"A"
"2005-08";"86.03";"A"
"2005-07";"85.24";"A"
"2005-06";"86.05";"A"
"2005-05";"84.45";"A"
"2005-04";"85.17";"A"
"2005-03";"82.96";"A"
"2005-02";"84.7";"A"
"2005-01";"83.66";"A"
"2004-12";"84.42";"A"
"2004-11";"85.71";"A"
"2004-10";"85.63";"A"
"2004-09";"86.51";"A"
"2004-08";"84.34";"A"
"2004-07";"84.92";"A"
"2004-06";"85.19";"A"
"2004-05";"83.59";"A"
"2004-04";"83.73";"A"
"2004-03";"83.99";"A"
"2004-02";"83.94";"A"
"2004-01";"84.71";"A"
"2003-12";"83.92";"A"
"2003-11";"85.3";"A"
"2003-10";"84.61";"A"
"2003-09";"85.22";"A"
"2003-08";"83.42";"A"
"2003-07";"83.93";"A"
"2003-06";"83.38";"A"
"2003-05";"86.59";"A"
"2003-04";"86.3";"A"
"2003-03";"85.99";"A"
"2003-02";"85.51";"A"
"2003-01";"85.08";"A"
"2002-12";"84.56";"A"
"2002-11";"85.83";"A"
"2002-10";"85.33";"A"
"2002-09";"83.2";"A"
"2002-08";"84.98";"A"
"2002-07";"83.51";"A"
"2002-06";"85.01";"A"
"2002-05";"83.05";"A"
"2002-04";"84.9";"A"
"2002-03";"88.69";"A"
"2002-02";"85.68";"A"
"2002-01";"82.2";"A"
"2001-12";"86.23";"A"
"2001-11";"81.47";"A"
"2001-10";"81.44";"A"
"2001-09";"84.2";"A"
"2001-08";"86.92";"A"
"2001-07";"77.57";"A"
"2001-06";"81.75";"A"
"2001-05";"86.55";"A"
"2001-04";"83.41";"A"
"2001-03";"86.11";"A"
"2001-02";"83.5";"A"
"2001-01";"83.61";"A"
"2000-12";"85.39";"A"
"2000-11";"81.62";"A"
"2000-10";"80.29";"A"
"2000-09";"81.92";"A"
"2000-08";"81.8";"A"
"2000-07";"83.03";"A"
"2000-06";"79.98";"A"
"2000-05";"80.22";"A"
"2000-04";"80.29";"A"
"2000-03";"79.07";"A"
"2000-02";"80.63";"A"
"2000-01";"79.21";"A"
"1999-12";"76.23";"A"
"1999-11";"79.77";"A"
"1999-10";"79.59";"A"
"1999-09";"77.66";"A"
"1999-08";"76.44";"A"
"1999-07";"79.19";"A"
"1999-06";"76.73";"A"
"1999-05";"74.9";"A"
"1999-04";"74.58";"A"
"1999-03";"72.83";"A"
"1999-02";"73.95";"A"
"1999-01";"75.51";"A"
"1998-12";"75.8";"A"
"1998-11";"76.69";"A"
"1998-10";"76.58";"A"
"1998-09";"75.04";"A"
"1998-08";"74.87";"A"
"1998-07";"75.62";"A"
"1998-06";"75.43";"A"
"1998-05";"74.69";"A"
"1998-04";"74.62";"A"
"1998-03";"75.53";"A"
"1998-02";"74.59";"A"
"1998-01";"73.97";"A"
"1997-12";"74.11";"A"
"1997-11";"73.15";"A"
"1997-10";"72.9";"A"
"1997-09";"70.91";"A"
"1997-08";"70.82";"A"
"1997-07";"69.03";"A"
"1997-06";"72.75";"A"
"1997-05";"72.39";"A"
"1997-04";"74.99";"A"
"1997-03";"71.36";"A"
"1997-02";"71.5";"A"
"1997-01";"71.49";"A"
"1996-12";"69.7";"A"
"1996-11";"69.66";"A"
"1996-10";"69.34";"A"
"1996-09";"73.07";"A"
"1996-08";"68.93";"A"
"1996-07";"69.24";"A"
"1996-06";"68.55";"A"
"1996-05";"68.04";"A"
"1996-04";"66.99";"A"
"1996-03";"68.52";"A"
"1996-02";"65.94";"A"
"1996-01";"65.49";"A"
"1995-12";"64.05";"A"
"1995-11";"64.22";"A"
"1995-10";"65.25";"A"
"1995-09";"65.82";"A"
"1995-08";"64.87";"A"
"1995-07";"66.09";"A"
"1995-06";"68.34";"A"
"1995-05";"67.66";"A"
"1995-04";"67.68";"A"
"1995-03";"68.33";"A"
"1995-02";"65.68";"A"
"1995-01";"65.57";"A"
"1994-12";"65.16";"A"
"1994-11";"64.7";"A"
"1994-10";"64.07";"A"
"1994-09";"63.44";"A"
"1994-08";"63.33";"A"
"1994-07";"62.63";"A"
"1994-06";"63.16";"A"
"1994-05";"62.51";"A"
"1994-04";"61.44";"A"
"1994-03";"62.33";"A"
"1994-02";"63.3";"A"
"1994-01";"65.39";"A"
"1993-12";"63.91";"A"
"1993-11";"66.14";"A"
"1993-10";"64.24";"A"
"1993-09";"63.76";"A"
"1993-08";"64.22";"A"
"1993-07";"62.12";"A"
"1993-06";"61.16";"A"
"1993-05";"62.28";"A"
"1993-04";"61.2";"A"
"1993-03";"62.14";"A"
"1993-02";"62.76";"A"
"1993-01";"63.81";"A"
"1992-12";"63.03";"A"
"1992-11";"61.88";"A"
"1992-10";"61.16";"A"
"1992-09";"60.18";"A"
"1992-08";"59.91";"A"
"1992-07";"59.64";"A"
"1992-06";"60.25";"A"
"1992-05";"60.56";"A"
"1992-04";"61.1";"A"
"1992-03";"60.36";"A"
"1992-02";"60.6";"A"
"1992-01";"62.14";"A"
"1991-12";"60.2";"A"
"1991-11";"60.07";"A"
"1991-10";"60.94";"A"
"1991-09";"61.91";"A"
"1991-08";"61.52";"A"
"1991-07";"59.78";"A"
"1991-06";"59.02";"A"
"1991-05";"61.53";"A"
"1991-04";"63.01";"A"
"1991-03";"60.83";"A"
"1991-02";"60.16";"A"
"1991-01";"59.34";"A"
"1990-12";"59.44";"A"
"1990-11";"59.14";"A"
"1990-10";"59.32";"A"
"1990-09";"58.04";"A"
"1990-08";"58.26";"A"
"1990-07";"59.23";"A"
"1990-06";"58.88";"A"
"1990-05";"57.73";"A"
"1990-04";"57.44";"A"
"1990-03";"57.02";"A"
"1990-02";"53.76";"A"
"1990-01";"52.86";"A"
